1,2,3,4,5,6,7,8,9,10
Toy Story (1995),Titanic (1997),Fargo (1996),"Usual Suspects, The (1995)",Monty Python and the Holy Grail (1974),"Postino, Il (1994)",Blade Runner (1982),"Godfather: Part II, The (1974)",Trainspotting (1996),"Killing Fields, The (1984)"
Star Wars (1977),Return of the Jedi (1983),Monty Python and the Holy Grail (1974),Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)","Silence of the Lambs, The (1991)","Godfather, The (1972)","Fugitive, The (1993)",Toy Story (1995),Braveheart (1995)
Star Wars (1977),"Godfather, The (1972)",Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Alien (1979),Monty Python and the Holy Grail (1974),Reservoir Dogs (1992),Return of the Jedi (1983),Braveheart (1995)
Raiders of the Lost Ark (1981),Fargo (1996),Toy Story (1995),"Godfather, The (1972)",Good Will Hunting (1997),Casablanca (1942),Chasing Amy (1997),"City of Lost Children, The (1995)","Princess Bride, The (1987)",Schindler's List (1993)
"Close Shave, A (1995)",Fargo (1996),Willy Wonka and the Chocolate Factory (1971),Air Force One (1997),Sense and Sensibility (1995),L.A. Confidential (1997),"Full Monty, The (1997)",Cold Comfort Farm (1995),Return of the Jedi (1983),Brassed Off (1996)
Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Contact (1997),"Postino, Il (1994)",Pulp Fiction (1994),Return of the Jedi (1983),Apocalypse Now (1979),"Shawshank Redemption, The (1994)","Fugitive, The (1993)",When Harry Met Sally... (1989)
Star Wars (1977),"Empire Strikes Back, The (1980)","Usual Suspects, The (1995)","Silence of the Lambs, The (1991)",Casablanca (1942),Pulp Fiction (1994),"Shawshank Redemption, The (1994)","Princess Bride, The (1987)",Raiders of the Lost Ark (1981),Schindler's List (1993)
L.A. Confidential (1997),Air Force One (1997),Titanic (1997),Star Wars (1977),Ulee's Gold (1997),Good Will Hunting (1997),Apt Pupil (1998),Contact (1997),"Boot, Das (1981)",Secrets & Lies (1996)
Star Wars (1977),Return of the Jedi (1983),To Kill a Mockingbird (1962),Much Ado About Nothing (1993),Indiana Jones and the Last Crusade (1989),One Flew Over the Cuckoo's Nest (1975),Contact (1997),Terminator 2: Judgment Day (1991),Schindler's List (1993),"Lion King, The (1994)"
Star Wars (1977),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Terminator 2: Judgment Day (1991),Alien (1979),Star Trek: The Wrath of Khan (1982),Back to the Future (1985),Toy Story (1995),Schindler's List (1993),Casablanca (1942)
Titanic (1997),Contact (1997),L.A. Confidential (1997),"Full Monty, The (1997)",Scream (1996),"Devil's Advocate, The (1997)",Wag the Dog (1997),Scream 2 (1997),Chasing Amy (1997),Kiss the Girls (1997)
Titanic (1997),Good Will Hunting (1997),L.A. Confidential (1997),Apt Pupil (1998),Air Force One (1997),"Rainmaker, The (1997)","Full Monty, The (1997)",As Good As It Gets (1997),Fargo (1996),Tomorrow Never Dies (1997)
"English Patient, The (1996)",Schindler's List (1993),To Kill a Mockingbird (1962),"Shawshank Redemption, The (1994)",Back to the Future (1985),Fargo (1996),"Boot, Das (1981)","Sting, The (1973)",Air Force One (1997),Philadelphia (1993)
Titanic (1997),Good Will Hunting (1997),Boogie Nights (1997),"Boot, Das (1981)",Contact (1997),Star Wars (1977),"Full Monty, The (1997)",Raise the Red Lantern (1991),Scream (1996),"Godfather, The (1972)"
Star Wars (1977),Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)","Princess Bride, The (1987)","Empire Strikes Back, The (1980)",Braveheart (1995),Schindler's List (1993),Back to the Future (1985),"Terminator, The (1984)",Willy Wonka and the Chocolate Factory (1971)
Star Wars (1977),Fargo (1996),Trainspotting (1996),Secrets & Lies (1996),L.A. Confidential (1997),Swingers (1996),"Silence of the Lambs, The (1991)",Andre (1994),Welcome to the Dollhouse (1995),Raging Bull (1980)
"Fugitive, The (1993)",Air Force One (1997),Return of the Jedi (1983),Braveheart (1995),Toy Story (1995),Taxi Driver (1976),Alien (1979),Lawrence of Arabia (1962),Raiders of the Lost Ark (1981),Terminator 2: Judgment Day (1991)
L.A. Confidential (1997),Apt Pupil (1998),Scream (1996),Fargo (1996),George of the Jungle (1997),"Rainmaker, The (1997)",Star Wars (1977),Gattaca (1997),Everyone Says I Love You (1996),Wag the Dog (1997)
Good Will Hunting (1997),Titanic (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Ulee's Gold (1997),Gattaca (1997),Star Wars (1977),"Godfather, The (1972)",Kolya (1996),Emma (1996),Jackie Brown (1997)
Star Wars (1977),"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Aliens (1986),One Flew Over the Cuckoo's Nest (1975),Blade Runner (1982),"Usual Suspects, The (1995)",Monty Python and the Holy Grail (1974),Toy Story (1995)
Star Wars (1977),Titanic (1997),Secrets & Lies (1996),Fargo (1996),"Boot, Das (1981)",Good Will Hunting (1997),"Postino, Il (1994)",Beautiful Girls (1996),L.A. Confidential (1997),"Princess Bride, The (1987)"
Star Wars (1977),Titanic (1997),Casablanca (1942),Star Trek: First Contact (1996),Fargo (1996),Pulp Fiction (1994),"Full Monty, The (1997)","Shawshank Redemption, The (1994)","Empire Strikes Back, The (1980)",Starship Troopers (1997)
Fargo (1996),"Godfather, The (1972)",Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",Lone Star (1996),"Wizard of Oz, The (1939)",Chinatown (1974),Brazil (1985),Blade Runner (1982)
Toy Story (1995),Sense and Sensibility (1995),Secrets & Lies (1996),"Full Monty, The (1997)",Star Wars (1977),Bound (1996),Willy Wonka and the Chocolate Factory (1971),Mr. Holland's Opus (1995),Lone Star (1996),Dead Man Walking (1995)
Titanic (1997),Air Force One (1997),"Full Monty, The (1997)",Kolya (1996),"Ice Storm, The (1997)",Star Wars (1977),"Wings of the Dove, The (1997)",Good Will Hunting (1997),Dead Man Walking (1995),Boogie Nights (1997)
Jerry Maguire (1996),Air Force One (1997),Star Wars (1977),Star Trek: First Contact (1996),Contact (1997),Up Close and Personal (1996),"Silence of the Lambs, The (1991)",Toy Story (1995),Kiss the Girls (1997),"Rock, The (1996)"
L.A. Confidential (1997),Star Wars (1977),Fargo (1996),Kolya (1996),Leaving Las Vegas (1995),Contact (1997),Titanic (1997),"Big Lebowski, The (1998)",As Good As It Gets (1997),Good Will Hunting (1997)
L.A. Confidential (1997),Air Force One (1997),"Full Monty, The (1997)",Wag the Dog (1997),"Rainmaker, The (1997)",Star Wars (1977),Fly Away Home (1996),Desperate Measures (1998),Chasing Amy (1997),Jerry Maguire (1996)
Star Wars (1977),Casablanca (1942),"Empire Strikes Back, The (1980)",Return of the Jedi (1983),"Shawshank Redemption, The (1994)","Fugitive, The (1993)",Amadeus (1984),Fried Green Tomatoes (1991),Indiana Jones and the Last Crusade (1989),Blade Runner (1982)
Star Wars (1977),"Empire Strikes Back, The (1980)",Raiders of the Lost Ark (1981),Pulp Fiction (1994),"Terminator, The (1984)","Godfather, The (1972)",Die Hard (1988),Monty Python and the Holy Grail (1974),Fargo (1996),Schindler's List (1993)
Titanic (1997),L.A. Confidential (1997),Air Force One (1997),Star Wars (1977),Rosewood (1997),"Game, The (1997)",As Good As It Gets (1997),Kolya (1996),Fargo (1996),"Rainmaker, The (1997)"
"Full Monty, The (1997)",Apt Pupil (1998),Air Force One (1997),Kolya (1996),"Sweet Hereafter, The (1997)",Cop Land (1997),"Rainmaker, The (1997)",Swept from the Sea (1997),Jackie Brown (1997),"Apostle, The (1997)"
"Boot, Das (1981)","Rock, The (1996)","Bridge on the River Kwai, The (1957)",To Kill a Mockingbird (1962),Indiana Jones and the Last Crusade (1989),L.A. Confidential (1997),Dead Poets Society (1989),Toy Story (1995),12 Angry Men (1957),"Manchurian Candidate, The (1962)"
Amistad (1997),As Good As It Gets (1997),Apt Pupil (1998),Raise the Red Lantern (1991),Star Wars (1977),"Full Monty, The (1997)",Wag the Dog (1997),Oscar & Lucinda (1997),Fargo (1996),Eve's Bayou (1997)
Schindler's List (1993),Fargo (1996),"Silence of the Lambs, The (1991)",Star Wars (1977),"Usual Suspects, The (1995)",L.A. Confidential (1997),Toy Story (1995),"Godfather, The (1972)",Antonia's Line (1995),Twelve Monkeys (1995)
Fargo (1996),Vertigo (1958),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)","Empire Strikes Back, The (1980)",North by Northwest (1959),Schindler's List (1993),Lawrence of Arabia (1962),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975)
Titanic (1997),Raiders of the Lost Ark (1981),Groundhog Day (1993),Dead Poets Society (1989),Schindler's List (1993),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Back to the Future (1985),"Fugitive, The (1993)","Silence of the Lambs, The (1991)"
"Godfather, The (1972)","Princess Bride, The (1987)",Fargo (1996),Terminator 2: Judgment Day (1991),Toy Story (1995),Pulp Fiction (1994),Seven (Se7en) (1995),Men in Black (1997),Much Ado About Nothing (1993),Rear Window (1954)
"Godfather, The (1972)","Silence of the Lambs, The (1991)",2001: A Space Odyssey (1968),Pulp Fiction (1994),Titanic (1997),Schindler's List (1993),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)","Clockwork Orange, A (1971)",Casablanca (1942)
"Full Monty, The (1997)",L.A. Confidential (1997),Wag the Dog (1997),Star Wars (1977),Fargo (1996),Starship Troopers (1997),"Big Lebowski, The (1998)",Secrets & Lies (1996),Kolya (1996),Kundun (1997)
Star Wars (1977),"Godfather, The (1972)",Blade Runner (1982),"Silence of the Lambs, The (1991)",Schindler's List (1993),It's a Wonderful Life (1946),Rear Window (1954),Patton (1970),"Clockwork Orange, A (1971)","Maltese Falcon, The (1941)"
"Godfather, The (1972)",Dead Man Walking (1995),Star Trek: First Contact (1996),Twelve Monkeys (1995),"Shawshank Redemption, The (1994)",Willy Wonka and the Chocolate Factory (1971),Return of the Jedi (1983),Face/Off (1997),"Usual Suspects, The (1995)",Terminator 2: Judgment Day (1991)
Star Wars (1977),Fargo (1996),"Shawshank Redemption, The (1994)","Godfather, The (1972)","Usual Suspects, The (1995)","Empire Strikes Back, The (1980)",Schindler's List (1993),"Clockwork Orange, A (1971)",Reservoir Dogs (1992),"Silence of the Lambs, The (1991)"
Titanic (1997),Star Wars (1977),Contact (1997),Return of the Jedi (1983),L.A. Confidential (1997),Boogie Nights (1997),Men in Black (1997),"English Patient, The (1996)","Usual Suspects, The (1995)",Raiders of the Lost Ark (1981)
Star Wars (1977),Titanic (1997),Return of the Jedi (1983),"Boot, Das (1981)",Blade Runner (1982),"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Twelve Monkeys (1995),Lone Star (1996)
Titanic (1997),L.A. Confidential (1997),"Full Monty, The (1997)",Amistad (1997),Chasing Amy (1997),"Wings of the Dove, The (1997)","Godfather, The (1972)",Contact (1997),Sense and Sensibility (1995),Secrets & Lies (1996)
Star Wars (1977),Fargo (1996),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Trainspotting (1996),"Empire Strikes Back, The (1980)",Willy Wonka and the Chocolate Factory (1971),Forrest Gump (1994),"Shawshank Redemption, The (1994)","Boot, Das (1981)"
Apt Pupil (1998),Titanic (1997),L.A. Confidential (1997),Amistad (1997),Chasing Amy (1997),"Godfather, The (1972)","African Queen, The (1951)",Fargo (1996),Boogie Nights (1997),Forrest Gump (1994)
Titanic (1997),Star Wars (1977),Return of the Jedi (1983),"Godfather, The (1972)",Air Force One (1997),"Rock, The (1996)",Scream (1996),Trainspotting (1996),Schindler's List (1993),Starship Troopers (1997)
Titanic (1997),"Usual Suspects, The (1995)",Star Wars (1977),L.A. Confidential (1997),Return of the Jedi (1983),"Shawshank Redemption, The (1994)",Air Force One (1997),Toy Story (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Fargo (1996)
L.A. Confidential (1997),Air Force One (1997),G.I. Jane (1997),Star Wars (1977),Ulee's Gold (1997),"Wings of the Dove, The (1997)","Sweet Hereafter, The (1997)","Godfather, The (1972)",Dead Man Walking (1995),"Apostle, The (1997)"
Star Wars (1977),"Shawshank Redemption, The (1994)",Return of the Jedi (1983),"Godfather, The (1972)",Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)","Silence of the Lambs, The (1991)",It's a Wonderful Life (1946),"Rock, The (1996)","Fugitive, The (1993)"
Star Wars (1977),Courage Under Fire (1996),"Rock, The (1996)",L.A. Confidential (1997),Star Trek: First Contact (1996),Jerry Maguire (1996),Contact (1997),Con Air (1997),Jackie Brown (1997),Face/Off (1997)
Titanic (1997),L.A. Confidential (1997),"Godfather, The (1972)",Return of the Jedi (1983),Star Trek: First Contact (1996),Tomorrow Never Dies (1997),Sense and Sensibility (1995),Apocalypse Now (1979),"Jackal, The (1997)",G.I. Jane (1997)
Titanic (1997),L.A. Confidential (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Rosewood (1997),Wag the Dog (1997),"Full Monty, The (1997)",Ulee's Gold (1997),Tomorrow Never Dies (1997),"Devil's Advocate, The (1997)","Big Lebowski, The (1998)"
L.A. Confidential (1997),Titanic (1997),As Good As It Gets (1997),"Sweet Hereafter, The (1997)",Chasing Amy (1997),Kolya (1996),Star Wars (1977),Fargo (1996),Kiss the Girls (1997),Amistad (1997)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Schindler's List (1993),"Godfather, The (1972)",Rear Window (1954),"Godfather: Part II, The (1974)",North by Northwest (1959),Lawrence of Arabia (1962),Pulp Fiction (1994),"Usual Suspects, The (1995)",2001: A Space Odyssey (1968)
Titanic (1997),Star Wars (1977),Air Force One (1997),Good Will Hunting (1997),Return of the Jedi (1983),Liar Liar (1997),Scream (1996),Conspiracy Theory (1997),Apt Pupil (1998),Wag the Dog (1997)
Amadeus (1984),Return of the Jedi (1983),"Empire Strikes Back, The (1980)",Titanic (1997),"Sting, The (1973)",It's a Wonderful Life (1946),Shine (1996),Philadelphia (1993),"Fugitive, The (1993)",Arsenic and Old Lace (1944)
Contact (1997),Toy Story (1995),L.A. Confidential (1997),"Fugitive, The (1993)",Return of the Jedi (1983),Blade Runner (1982),Secrets & Lies (1996),"Sound of Music, The (1965)","Close Shave, A (1995)",One Flew Over the Cuckoo's Nest (1975)
Star Wars (1977),"Godfather, The (1972)",Fargo (1996),Toy Story (1995),Titanic (1997),Seven Years in Tibet (1997),Contact (1997),Babe (1995),L.A. Confidential (1997),Lone Star (1996)
Fargo (1996),Pulp Fiction (1994),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Schindler's List (1993),Blade Runner (1982),"Fugitive, The (1993)",Titanic (1997),"Clockwork Orange, A (1971)",Apocalypse Now (1979)
"Silence of the Lambs, The (1991)",Return of the Jedi (1983),Terminator 2: Judgment Day (1991),Blade Runner (1982),Braveheart (1995),Glory (1989),Indiana Jones and the Last Crusade (1989),Back to the Future (1985),Contact (1997),Gandhi (1982)
Good Will Hunting (1997),Apt Pupil (1998),"Full Monty, The (1997)",Rosewood (1997),Contact (1997),Amistad (1997),Fly Away Home (1996),"Rainmaker, The (1997)",Swept from the Sea (1997),Chasing Amy (1997)
"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Titanic (1997),"Fugitive, The (1993)",Psycho (1960),One Flew Over the Cuckoo's Nest (1975),Raiders of the Lost Ark (1981),Monty Python and the Holy Grail (1974),It's a Wonderful Life (1946),When Harry Met Sally... (1989)
Star Wars (1977),Return of the Jedi (1983),"Godfather, The (1972)",Titanic (1997),Swingers (1996),Twelve Monkeys (1995),Jane Eyre (1996),Contact (1997),"Long Kiss Goodnight, The (1996)",My Best Friend's Wedding (1997)
One Flew Over the Cuckoo's Nest (1975),Air Force One (1997),"Princess Bride, The (1987)","Boot, Das (1981)",Singin' in the Rain (1952),Rear Window (1954),"Godfather, The (1972)",Taxi Driver (1976),Contact (1997),"Fugitive, The (1993)"
"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Terminator 2: Judgment Day (1991),Pulp Fiction (1994),Raiders of the Lost Ark (1981),Men in Black (1997),"Princess Bride, The (1987)",Star Trek: First Contact (1996),Back to the Future (1985),"Fugitive, The (1993)"
"Wizard of Oz, The (1939)",Fargo (1996),Vertigo (1958),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)",Blade Runner (1982),"Silence of the Lambs, The (1991)",Amadeus (1984),Rear Window (1954),"Empire Strikes Back, The (1980)"
One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",Monty Python and the Holy Grail (1974),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Psycho (1960),Schindler's List (1993),Casablanca (1942),Fargo (1996),Amadeus (1984)
L.A. Confidential (1997),Mr. Holland's Opus (1995),Titanic (1997),Star Wars (1977),Air Force One (1997),Good Will Hunting (1997),One Flew Over the Cuckoo's Nest (1975),Apt Pupil (1998),Toy Story (1995),"Godfather, The (1972)"
Star Wars (1977),"Empire Strikes Back, The (1980)","Wizard of Oz, The (1939)",Henry V (1989),"Godfather, The (1972)",Amadeus (1984),Schindler's List (1993),Psycho (1960),Casablanca (1942),Strictly Ballroom (1992)
"Silence of the Lambs, The (1991)",Return of the Jedi (1983),One Flew Over the Cuckoo's Nest (1975),To Kill a Mockingbird (1962),Titanic (1997),"Wizard of Oz, The (1939)",North by Northwest (1959),"Empire Strikes Back, The (1980)",It's a Wonderful Life (1946),Terminator 2: Judgment Day (1991)
"Godfather, The (1972)",Casablanca (1942),"Boot, Das (1981)",Annie Hall (1977),Fargo (1996),North by Northwest (1959),Monty Python and the Holy Grail (1974),"Silence of the Lambs, The (1991)",Citizen Kane (1941),Toy Story (1995)
Star Wars (1977),Return of the Jedi (1983),"Game, The (1997)","Godfather, The (1972)",L.A. Confidential (1997),Kiss the Girls (1997),Twister (1996),Star Trek: First Contact (1996),"Full Monty, The (1997)",Air Force One (1997)
